gene,rank,certificate_score,target_zscore,classification,role,is_canonical_Th1_driver,lit_evidence_source,lit_evidence_doi,OT_top_th1_disease,OT_genetic_score,OT_overall_score,genetics_corroborated,note
LYAR,1,20.943,31.28,PLAUSIBLE,state-marker,False,OpenAlex: Single-cell transcriptomics identifies an effectorness gradient shaping the resp (2020) doi:10.1038/s41467-020-15543-y,10.1038/s41467-020-15543-y,type 1 diabetes mellitus,0.032,0.019,False,LYAR tracks CD4+ effectorness gradient as co-induced marker; no direct evidence it drives Th1/IFN-gamma program.
IKZF3,2,20.444,22.01,PLAUSIBLE,negative-regulator,False,OpenAlex: Immunomodulatory agents lenalidomide and pomalidomide co‐stimulate <scp>T</scp>  (2013) doi:10.1111/bjh.12708,10.1111/bjh.12708,immunodeficiency 84,0.728,0.626,True,"Aiolos degradation (by IMiDs) costimulates T cells, implying endogenous IKZF3 suppresses activation/cytokine output, not drives Th1."
TMEM62,3,20.357,25.37,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,,,,False,"No listed paper links TMEM62 to T-cell Th1 biology; candidates are off-target (livestock, nuclear receptors, IFN signaling review)."
CRTAM,4,19.975,13.66,PLAUSIBLE,state-marker,False,OpenAlex: The transcription factors Runx3 and ThPOK cross-regulate acquisition of cytotoxi (2018) doi:10.7554/elife.30496,10.7554/elife.30496,rheumatoid arthritis,,0.081,False,CRTAM marks cytotoxic/effector Th1-like CD4 T cells (Runx3/ThPOK-driven) but isn't shown to drive IFN-gamma/T-bet program itself.
STOM,5,18.33,30.48,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,systemic-onset juvenile idiopathic arthritis,,0.028,False,No listed paper addresses STOM in CD4+ T cells or Th1/IFN-gamma program; no direction-of-effect evidence available.
PLCB1,6,17.193,17.29,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,cutaneous lupus erythematosus,0.431,0.262,False,No listed paper links PLCB1 to Th1/IFN-gamma; not a canonical Th1 driver or marker gene.
CBLB,7,16.377,23.44,PLAUSIBLE,negative-regulator,False,OpenAlex: Deletion of Cbl-b inhibits CD8<sup>+</sup> T-cell exhaustion and promotes CAR T- (2021) doi:10.1136/jitc-2020-001688,10.1136/jitc-2020-001688,multiple sclerosis,0.649,0.399,True,"CBLB is an inhibitory E3 ligase; its deletion boosts T-cell/CAR-T function, implying high CBLB suppresses, not drives, Th1 effector output."
GBP5,8,15.582,25.46,PLAUSIBLE,effector-response,False,OpenAlex: NADPH Oxidase and Guanylate Binding Protein 5 Restrict Survival of Avirulent Typ (2018) doi:10.1128/mbio.01393-18,10.1128/mbio.01393-18,inflammatory bowel disease,,0.095,False,"GBP5 is IFN-gamma-induced antimicrobial effector, a downstream marker of Th1 output, not a proven driver of differentiation"
PPP2R2B,9,14.069,18.32,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,autoimmune disorder of central nervous system,,0.223,False,"No listed paper addresses PPP2R2B in CD4+ Th1 biology; others off-target (ataxia, NK cells, cattle, Alzheimer's)."
LAG3,10,13.563,18.58,PLAUSIBLE,negative-regulator,False,no on-target direction-of-effect paper in query set,,Hashimoto thyroiditis,0.198,0.12,False,"LAG3 is an inhibitory checkpoint co-upregulated on activated/exhausted Th1 cells, not a proven driver of the program."
SAMD3,11,12.975,14.56,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,immunodeficiency 128,,0.055,False,"No listed paper addresses SAMD3 in Th1/CD4 biology; all candidates are off-target (tumor, NK, celiac, SARS-CoV-2)."
ARHGAP26,12,12.799,15.96,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,rheumatoid arthritis,0.473,0.287,False,No listed paper addresses ARHGAP26 in Th1/CD4 T cells; no credible direction-of-effect evidence.
RAB34,13,12.595,9.18,UNKNOWN,none,False,OpenAlex: Identification of an immune regulated phagosomal Rab cascade in macrophages (2014) doi:10.1242/jcs.144923,10.1242/jcs.144923,,,,False,"Listed papers address macrophage phagosomal Rab biology, not CD4 Th1/IFN-gamma programs; no Th1 direction-of-effect evidence."
DNAJC1,14,12.515,17.52,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,spondyloarthropathy,0.473,0.288,False,No listed paper establishes DNAJC1 direction-of-effect in Th1/IFN-gamma CD4+ T-cell biology; off-target list.
TRPS1,15,12.415,17.62,UNKNOWN,none,False,no on-target direction-of-effect paper in query set,,type 1 diabetes mellitus,0.619,0.376,True,"No listed paper addresses TRPS1 in T cells; it's a GATA-repressor known mainly in skeletal/breast contexts, not Th1 biology."
IRF8,21,11.052,13.65,PLAUSIBLE,driver,False,OpenAlex: IRF8 Transcription-Factor-Dependent Classical Dendritic Cells Are Essential for  (2016) doi:10.1016/j.immuni.2016.02.008,10.1016/j.immuni.2016.02.008,immunodeficiency 32B,0.765,0.586,True,"IRF8 promotes Th1/IFN-γ via DC-intrinsic IL-12 priming; listed evidence is DC-based, not direct CD4-intrinsic proof."
IFNG,35,9.801,15.42,SUPPORTS,driver,True,OpenAlex: Transcription factors T-bet and Runx3 cooperate to activate Ifng and silence Il4 (2006) doi:10.1038/ni1424,10.1038/ni1424,immunodeficiency 69,0.606,0.506,True,"IFNG is the canonical Th1 effector cytokine; T-bet/Runx3 directly activate Ifng, defining Th1 identity when high."
TBX21,144,6.777,22.53,SUPPORTS,driver,True,canonical Th1 master regulator (established literature),,immunodeficiency 88,0.65,0.413,True,T-bet is the canonical master TF driving Th1 differentiation and IFN-gamma; no listed paper directly addresses TBX21.
STAT4,364,4.724,11.56,SUPPORTS,driver,True,canonical IL-12-induced Th1 master TF (established literature); no STAT4-specific GOF paper in query set — cited pathway paper (ni794) is STAT1-titled,,rheumatoid arthritis,0.792,0.586,True,STAT4 is canonical IL-12-induced Th1 master TF driving IFN-gamma/T-bet; paper 4 shows linked IL-12R/Th1 pathway regulation.
STAT1,473,4.148,4.94,SUPPORTS,driver,True,OpenAlex: T-bet is a STAT1-induced regulator of IL-12R expression in naïve CD4+ T cells (2002) doi:10.1038/ni794,10.1038/ni794,autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome,0.932,0.749,True,"STAT1 induces T-bet, upregulating IL-12R, driving canonical IFN-gamma+ Th1 commitment from naive CD4+ T cells."
